BOTTLE,20160524SIOCCHCBG
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,ALUMIN,ALUMIN_FLAG_W,DELO18,DELO18_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,BTL_LAT,BTL_LON,DELSI30,DELSI30_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOMSN,CDOMSN_FLAG_W,BLACKC,BLACKC_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM555,CDOM555_FLAG_W,DELHER,HELIER
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEGC,TU,,TU,NMOL/KG,,PERCNT,,DEGC,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,NMOL/KG,NMOL/L,,/MILLE,,UMOL/KG,,UMOL/KG,,,,,,1/M,,1/M,,1/NM,,1/M,,1/M,,1/NM,,,,1/M,,1/M,,1/M,,PERCNT,NMOL/KG
33RR20080204,I06S,1,2,35,35,2,20080205,2207,-33.2152,28.0528,180,9.2,26.2013,35.3126,2,35.3130,2,210.8,2,211.4,2,1.65,2,-0.01,2,0.01,2,0.11,2,1.716,2,1.090,2,0.120,2,1986.7,3,2314.3,2,8.1870,2,20.00,-999.000,9,-999.000,-999.000,9,-999.00,9,-999.0000,9,-999.00,9,-999.0,9,-999.0,-999.000,9,-999.000,-999.0,9,-999.00,9,68.20,2,-999.00,1,-33.2382,28.0182,-999.0,9,0.0220,2,0.0811,2,0.0253,2,0.0542,2,-0.0001,4,0.0245,2,-999.0,9,-0.0037,4,0.0062,2,-0.0037,4,-999.00,-999.000
33RR20080204,I06S,1,2,36,36,2,20080205,2208,-33.2152,28.0528,180,9.5,26.1664,35.3121,2,-999.0000,9,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,1.703,2,1.093,2,0.123,2,-999.0,9,-999.0,9,-999.0000,9,-999.00,-999.000,9,-999.000,-999.000,9,-999.00,9,-999.0000,9,-999.00,9,-999.0,9,-999.0,-999.000,9,-999.000,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-33.2389,28.0171,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.00,-999.000
33RR20080204,I06S,1,2,34,34,2,20080205,2204,-33.2152,28.0528,180,26.0,24.3626,35.2861,2,-999.0000,9,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,2313.2,2,-999.0000,9,-999.00,-999.000,9,-999.000,-999.000,9,-999.00,9,-999.0000,9,-999.00,9,-999.0,9,-999.0,-999.000,9,-999.000,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-33.2360,28.0218,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.00,-999.000
33RR20080204,I06S,1,2,33,33,2,20080205,2203,-33.2152,28.0528,180,26.2,24.3912,35.2873,2,35.2947,2,208.8,2,208.9,2,2.24,2,0.02,2,0.01,2,0.15,2,1.811,2,1.154,2,0.104,2,2000.4,2,2313.5,2,8.1430,2,20.00,-999.000,9,-999.000,-999.000,9,-999.00,9,-999.0000,9,-999.00,9,-999.0,9,-999.0,-999.000,9,-999.000,-999.0,9,-999.00,9,64.29,2,-999.00,1,-33.2355,28.0226,-999.0,9,0.0342,2,0.1210,2,0.0224,2,0.0837,2,0.0062,2,0.0228,2,-999.0,9,-0.0007,4,0.0176,2,-0.0020,4,-999.00,-999.000
33RR20080204,I06S,1,2,31,31,2,20080205,2159,-33.2152,28.0528,180,45.7,21.2364,35.3057,2,35.3028,2,183.8,2,181.2,2,4.83,2,3.89,2,0.26,2,0.42,2,2.018,2,1.235,2,0.086,2,2049.1,2,2315.6,2,8.0570,2,20.00,-999.000,9,-999.000,-999.000,9,-999.00,9,-999.0000,9,-999.00,9,-999.0,9,-999.0,-999.000,9,-999.000,-999.0,9,-999.00,9,57.27,2,-999.00,1,-33.2330,28.0264,-999.0,9,0.0518,2,0.1581,2,0.0192,2,0.1153,2,0.0155,2,0.0195,2,-999.0,9,0.0022,2,0.0323,2,-0.0009,4,-999.00,-999.000
33RR20080204,I06S,1,2,32,32,2,20080205,2200,-33.2152,28.0528,180,46.2,21.1601,35.3066,2,-999.0000,9,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,2315.6,2,-999.0000,9,-999.00,-999.000,9,-999.000,-999.000,9,-999.00,9,-999.0000,9,-999.00,9,-999.0,9,-999.0,-999.000,9,-999.000,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-33.2335,28.0257,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.00,-999.000
33RR20080204,I06S,1,2,29,29,2,20080205,2154,-33.2152,28.0528,180,76.7,17.0779,35.3085,2,35.3269,2,164.7,2,161.8,2,8.82,2,10.36,2,0.04,2,0.78,2,2.245,2,1.305,2,0.038,2,2105.6,2,2318.8,2,7.9570,2,20.00,-999.000,9,-999.000,-999.000,9,-999.00,9,-999.0000,9,-999.00,9,-999.0,9,-999.0,-999.000,9,-999.000,-999.0,9,-999.00,9,55.61,2,-999.00,1,-33.2302,28.0310,-999.0,9,0.0289,2,0.1011,2,0.0201,2,0.0699,2,0.0071,2,0.0220,2,-999.0,9,-0.0007,4,0.0175,2,-0.0021,4,-999.00,-999.000
33RR20080204,I06S,1,2,30,30,2,20080205,2155,-33.2152,28.0528,180,78.1,17.1795,35.3128,2,-999.0000,9,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,2318.6,2,-999.0000,9,-999.00,-999.000,9,-999.000,-999.000,9,-999.00,9,-999.0000,9,-999.00,9,-999.0,9,-999.0,-999.000,9,-999.000,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-33.2306,28.0303,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.00,-999.000
33RR20080204,I06S,1,2,28,28,2,20080205,2150,-33.2152,28.0528,180,103.7,14.1590,35.2311,2,-999.0000,9,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,2319.0,2,-999.0000,9,-999.00,-999.000,9,-999.000,-999.000,9,-999.00,9,-999.0000,9,-999.00,9,-999.0,9,-999.0,-999.000,9,-999.000,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-33.2273,28.0353,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.00,-999.000
